lon_departure,lat_departure,lon_arrival,lat_arrival
61.838,55.509,38.51,55.681
61.838,55.509,49.464,56.01
61.838,55.509,83.084,55.021
38.51,55.681,61.838,55.509
38.51,55.681,20.987,55.483
38.51,55.681,49.464,56.01
38.51,55.681,-80.539,32.795
38.51,55.681,45.035,53.184
38.51,55.681,53.336,55.066
50.077,40.779,-80.539,32.795
20.987,55.483,38.51,55.681
49.464,56.01,61.838,55.509
49.464,56.01,38.51,55.681
49.464,56.01,30.437,60.333
49.464,56.01,12.31,48.589
49.464,56.01,53.336,55.066
30.437,60.333,49.464,56.01
30.437,60.333,-80.539,32.795
30.437,60.333,53.336,55.066
12.31,48.589,49.464,56.01
-80.539,32.795,38.51,55.681
-80.539,32.795,50.077,40.779
-80.539,32.795,30.437,60.333
76.806,61.582,53.336,55.066
83.084,55.021,61.838,55.509
45.035,53.184,38.51,55.681
53.336,55.066,38.51,55.681
53.336,55.066,49.464,56.01
53.336,55.066,30.437,60.333
53.336,55.066,76.806,61.582
-72.918,-13.511,-76.524,-11.37
-71.306,-15.902,-69.597,-15.112
-71.306,-15.902,-76.524,-11.37
-73.675,-12.592,-76.524,-11.37
-71.898,-13.227,-76.524,-11.37
-71.898,-13.227,-68.715,-12.357
-75.675,-9.799,-76.524,-11.37
-72.849,-3.642,-74.291,-7.964
-72.849,-3.642,-75.956,-6.182
-69.597,-15.112,-71.306,-15.902
-76.524,-11.37,-72.918,-13.511
-76.524,-11.37,-71.306,-15.902
-76.524,-11.37,-73.675,-12.592
-76.524,-11.37,-71.898,-13.227
-76.524,-11.37,-75.675,-9.799
-76.524,-11.37,-74.291,-7.964
-76.524,-11.37,-79.969,-3.255
-76.524,-11.37,-75.956,-6.182
-74.291,-7.964,-72.849,-3.642
-74.291,-7.964,-76.524,-11.37
-74.291,-7.964,-75.956,-6.182
-68.715,-12.357,-71.898,-13.227
-79.969,-3.255,-80.757,-4.295
-75.956,-6.182,-72.849,-3.642
-75.956,-6.182,-76.524,-11.37
-75.956,-6.182,-74.291,-7.964
-80.757,-4.295,-76.524,-11.37
-3.878,5.435,-3.885,11.266
-3.878,5.435,-1.188,12.588
0.388,6.008,-1.188,12.588
-7.917,12.889,-17.151,15.232
-7.917,12.889,2.599,49.208
-7.917,12.889,-1.188,12.588
-3.885,11.266,-3.878,5.435
-3.885,11.266,-1.188,12.588
2.64,6.595,10.199,4.01
2.64,6.595,9.687,0.764
2.64,6.595,-1.188,12.588
-17.151,15.232,-7.917,12.889
-17.151,15.232,-1.188,12.588
10.199,4.01,2.64,6.595
9.687,0.764,2.64,6.595
1.424,6.276,-1.188,12.588
2.306,13.802,-1.188,12.588
2.599,49.208,-1.188,12.588
-1.188,12.588,-3.878,5.435
-1.188,12.588,0.388,6.008
-1.188,12.588,-7.917,12.889
-1.188,12.588,-3.885,11.266
-1.188,12.588,2.64,6.595
-1.188,12.588,-17.151,15.232
-1.188,12.588,1.424,6.276
-1.188,12.588,2.306,13.802
-73.579,5.169,-78.148,0.431
-78.974,-2.816,-79.806,-1.596
-78.974,-2.816,-78.148,0.431
-89.777,-0.09,-79.806,-1.596
-89.777,-0.09,-78.148,0.431
-79.806,-1.596,-78.974,-2.816
-79.806,-1.596,-89.777,-0.09
-79.806,-1.596,-73.632,41.066
-79.806,-1.596,-78.148,0.431
-73.632,41.066,-79.806,-1.596
-80.465,-0.911,-78.148,0.431
-78.148,0.431,-73.579,5.169
-78.148,0.431,-78.974,-2.816
-78.148,0.431,-79.806,-1.596
-78.148,0.431,-80.465,-0.911
17.267,41.231,8.915,47.774
-2.532,51.637,8.915,47.774
8.915,47.774,17.267,41.231
8.915,47.774,-2.532,51.637
19.425,47.728,29.551,47.546
29.551,47.546,19.425,47.728
29.551,47.546,29.515,41.497
29.551,47.546,21.563,46.349
29.515,41.497,29.551,47.546
21.563,46.349,29.551,47.546
19.469,65.983,18.531,60.086
19.469,65.983,19.193,64.913
18.531,60.086,19.469,65.983
18.531,60.086,21.357,67.22
18.531,60.086,18.281,63.08
18.531,60.086,19.193,64.913
18.531,60.086,20.496,60.203
18.531,60.086,18.577,58.104
18.531,60.086,17.389,64.965
18.569,59.59,14.833,63.324
13.093,56.029,16.134,58.676
21.357,67.22,18.531,60.086
21.357,67.22,18.281,63.08
25.605,60.528,20.496,60.203
15.137,66.343,17.389,64.965
18.281,63.08,18.531,60.086
18.281,63.08,21.357,67.22
16.134,58.676,13.093,56.029
16.134,58.676,15.063,59.372
19.193,64.913,19.469,65.983
19.193,64.913,18.531,60.086
20.496,60.203,18.531,60.086
20.496,60.203,25.605,60.528
15.063,59.372,16.134,58.676
14.833,63.324,18.569,59.59
18.577,58.104,18.531,60.086
17.389,64.965,18.531,60.086
17.389,64.965,15.137,66.343
-152.157,58.249,-153.693,57.785
-152.157,58.249,-151.951,58.318
-152.157,58.249,-153.962,57.891
-152.157,58.249,-152.168,58.538
-152.157,58.249,-152.783,57.363
-153.693,57.785,-153.584,57.916
-151.951,58.318,-152.167,58.277
-153.962,57.891,-154.084,57.944
-152.168,58.538,-152.744,58.475
-152.167,58.277,-152.304,58.816
123.549,11.07,124.632,10.512
123.549,11.07,121.032,14.847
113.497,23.654,124.632,10.512
124.349,7.275,121.032,14.847
124.632,10.512,123.549,11.07
124.632,10.512,113.497,23.654
124.632,10.512,125.018,8.692
124.632,10.512,126.076,7.209
124.632,10.512,114.524,22.514
124.632,10.512,122.908,11.188
124.632,10.512,121.032,14.847
124.632,10.512,122.588,12.535
124.632,10.512,124.402,8.297
124.632,10.512,125.046,11.379
124.632,10.512,122.099,7.537
125.018,8.692,124.632,10.512
125.018,8.692,126.076,7.209
125.018,8.692,121.032,14.847
125.059,12.837,121.032,14.847
124.908,12.121,121.032,14.847
126.076,7.209,124.632,10.512
126.076,7.209,125.018,8.692
126.076,7.209,122.908,11.188
126.076,7.209,121.032,14.847
126.076,7.209,122.099,7.537
125.392,6.177,121.032,14.847
120.724,30.382,122.627,12.132
114.524,22.514,124.632,10.512
122.908,11.188,124.632,10.512
122.908,11.188,126.076,7.209
122.908,11.188,121.032,14.847
121.018,6.089,122.099,7.537
122.627,12.132,120.724,30.382
122.627,12.132,121.032,14.847
122.627,12.132,116.974,40.133
122.627,12.132,122.342,31.238
120.885,18.296,121.032,14.847
124.243,13.261,121.032,14.847
124.048,12.615,121.032,14.847
121.032,14.847,123.549,11.07
121.032,14.847,124.349,7.275
121.032,14.847,124.632,10.512
121.032,14.847,125.018,8.692
121.032,14.847,125.059,12.837
121.032,14.847,124.908,12.121
121.032,14.847,126.076,7.209
121.032,14.847,125.392,6.177
121.032,14.847,122.908,11.188
121.032,14.847,122.627,12.132
121.032,14.847,120.885,18.296
121.032,14.847,124.243,13.261
121.032,14.847,124.048,12.615
121.032,14.847,122.588,12.535
121.032,14.847,124.402,8.297
121.032,14.847,119.264,10.236
121.032,14.847,104.657,1.583
121.032,14.847,122.555,11.276
121.032,14.847,125.798,10.262
121.032,14.847,125.046,11.379
121.032,14.847,124.422,10.106
121.032,14.847,122.217,18.063
121.032,14.847,120.166,12.202
121.032,14.847,123.45,13.974
121.032,14.847,122.099,7.537
122.588,12.535,124.632,10.512
122.588,12.535,121.032,14.847
124.402,8.297,124.632,10.512
124.402,8.297,121.032,14.847
116.974,40.133,122.627,12.132
119.264,10.236,121.032,14.847
119.264,10.236,120.166,12.202
122.342,31.238,122.627,12.132
104.657,1.583,121.032,14.847
122.555,11.276,121.032,14.847
125.798,10.262,121.032,14.847
125.046,11.379,124.632,10.512
125.046,11.379,121.032,14.847
124.422,10.106,121.032,14.847
122.217,18.063,121.032,14.847
120.166,12.202,121.032,14.847
120.166,12.202,119.264,10.236
123.45,13.974,121.032,14.847
122.099,7.537,124.632,10.512
122.099,7.537,126.076,7.209
122.099,7.537,121.018,6.089
122.099,7.537,121.032,14.847
18.185,50.16,14.433,50.168
18.185,50.16,16.949,48.183
17.377,52.701,14.433,50.168
14.433,50.168,18.185,50.16
14.433,50.168,17.377,52.701
16.949,48.183,18.185,50.16
-90.543,41.305,-87.842,42.631
-90.543,41.305,-89.951,39.247
-88.777,40.39,-87.842,42.631
-88.777,40.39,-89.951,39.247
-87.842,42.631,-90.543,41.305
